Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0.00203055,0.00003270,RL,0.00013570,0.01610216,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,0.00001144,0.00000981,0.00328125,0.00328125,Hip,CompShg,VinylSd,VinylSd,Stone,0.00000000,Gd,TA,PConc,Gd,TA,Av,Unf,0.00000000,Unf,0.00000000,0.00276135,0.00276135,GasA,Ex,Y,SBrkr,0.00276135,0.00000000,0.00000000,0.00276135,0.00000000,0.00000000,0.00000327,0.00000000,0.00000490,0.00000163,Gd,0.00001144,Typ,0.00000000,,Attchd,0.00328125,RFn,0.00000490,0.00155970,TA,TA,Y,0.00000000,0.00009155,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000981,0.00328125,New,Partial,0.40599225
0.00201584,0.00014714,RL,0.00011444,0.01609072,Pave,,Reg,Lvl,AllPub,FR2,Gtl,mes,Norm,Norm,Duplex,1Story,0.00000654,0.00000817,0.00320768,0.00320768,Gable,CompShg,HdBoard,HdBoard,,0.00000000,TA,TA,Slab,,,,,0.00000000,,0.00000000,0.00000000,0.00000000,GasA,TA,Y,SBrkr,0.00200112,0.00000000,0.00000000,0.00200112,0.00000000,0.00000000,0.00000327,0.00000000,0.00000327,0.00000327,TA,0.00000981,Typ,0.00000000,,CarPort,0.00320768,Unf,0.00000327,0.00075533,TA,TA,Y,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000490,0.00328125,WD,Normal,0.16643315
0.00229050,0.00008175,RM,0.00008175,0.00980942,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,0.00000981,0.00001144,0.00315373,0.00318806,Gable,CompShg,WdShing,Wd Shng,,0.00000000,TA,TA,BrkTil,TA,TA,No,Unf,0.00000000,Unf,0.00000000,0.00140929,0.00140929,GasA,TA,Y,SBrkr,0.00155316,0.00034006,0.00000000,0.00189322,0.00000000,0.00000000,0.00000163,0.00000000,0.00000490,0.00000163,TA,0.00000817,Typ,0.00000163,Gd,BuiltIn,0.00315373,RFn,0.00000163,0.00034006,TA,TA,Y,0.00000000,0.00000000,0.00018311,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00001144,0.00328289,WD,Normal,0.19618839
0.00225126,0.00004905,RL,0.00008501,0.01028681,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,0.00000981,0.00000817,0.00315536,0.00318806,Gable,CompShg,Wd Sdng,Wd Sdng,,0.00000000,TA,TA,BrkTil,Gd,TA,Mn,Rec,0.00062780,Unf,0.00000000,0.00062780,0.00125561,GasA,TA,N,SBrkr,0.00129157,0.00000000,0.00000000,0.00129157,0.00000000,0.00000000,0.00000163,0.00000000,0.00000327,0.00000163,TA,0.00000654,Typ,0.00000000,,Detchd,0.00314719,Unf,0.00000163,0.00026158,Fa,TA,Y,0.00000000,0.00023052,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000654,0.00328289,WD,Normal,0.14877619
0.00034006,0.00003270,RL,,0.02042485,Pave,,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,0.00000654,0.00000817,0.00320441,0.00320441,Gable,CompShg,Wd Sdng,Wd Sdng,,0.00000000,TA,TA,PConc,TA,TA,No,ALQ,0.00068502,Rec,0.00050028,0.00061309,0.00179839,GasA,TA,Y,SBrkr,0.00179839,0.00000000,0.00000000,0.00179839,0.00000163,0.00000000,0.00000163,0.00000000,0.00000490,0.00000163,TA,0.00000981,Typ,0.00000163,Po,Attchd,0.00320441,RFn,0.00000163,0.00051009,TA,TA,Y,0.00058039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,GdWo,,0.00000000,0.00000654,0.00328289,WD,Normal,0.23052135
0.00227579,0.00014714,RL,0.00010627,0.01462257,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,0.00000817,0.00000817,0.00321585,0.00321585,Gable,CompShg,Plywood,Plywood,,0.00000000,TA,TA,CBlock,TA,TA,No,Unf,0.00000000,Unf,0.00000000,0.00258969,0.00258969,GasA,TA,Y,SBrkr,0.00258969,0.00000000,0.00000000,0.00258969,0.00000000,0.00000000,0.00000327,0.00000000,0.00000654,0.00000327,TA,0.00001308,Mod,0.00000000,,Detchd,0.00321585,Unf,0.00000490,0.00129484,TA,TA,Y,0.00000000,0.00024851,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000654,0.00328452,WD,Normal,0.20272800
0.00160221,0.00003270,RL,0.00013079,0.01441331,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,0.00000817,0.00000981,0.00320932,0.00320932,Gable,CompShg,VinylSd,VinylSd,,0.00000000,TA,TA,PConc,TA,TA,No,Rec,0.00106432,Unf,0.00000000,0.00076840,0.00183273,GasA,TA,Y,SBrkr,0.00183273,0.00000000,0.00000000,0.00183273,0.00000163,0.00000000,0.00000163,0.00000000,0.00000490,0.00000163,TA,0.00000817,Typ,0.00000000,,Detchd,0.00320932,Unf,0.00000327,0.00078475,TA,TA,Y,0.00000000,0.00013079,0.00000000,0.00000000,0.00000000,0.00000000,,MnPrv,,0.00000000,0.00000981,0.00328452,WD,Normal,0.22725155
0.00079129,0.00019619,RM,0.00005232,0.00735706,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,0.00000981,0.00000817,0.00326654,0.00326654,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.00018965,TA,TA,PConc,Ex,TA,No,GLQ,0.00146651,Unf,0.00000000,0.00052153,0.00198804,GasA,Ex,Y,SBrkr,0.00198804,0.00000000,0.00000000,0.00198804,0.00000163,0.00000000,0.00000327,0.00000000,0.00000327,0.00000163,TA,0.00000817,Typ,0.00000000,,Attchd,0.00326654,Unf,0.00000327,0.00065723,TA,TA,Y,0.00000000,0.00020436,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000817,0.00327962,WD,Normal,0.26812413
0.00064088,0.00009809,RL,0.00011608,0.01996053,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,0.00000981,0.00000817,0.00327144,0.00327308,Gable,CompShg,VinylSd,VinylSd,,0.00000000,TA,TA,PConc,Ex,TA,No,ALQ,0.00112808,Unf,0.00000000,0.00018638,0.00131446,GasA,Ex,Y,SBrkr,0.00131446,0.00189158,0.00000000,0.00320605,0.00000163,0.00000000,0.00000327,0.00000163,0.00000490,0.00000163,Gd,0.00001144,Typ,0.00000163,TA,BuiltIn,0.00327144,Fin,0.00000327,0.00091555,TA,TA,Y,0.00020436,0.00031390,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000981,0.00328452,WD,Normal,0.35150419
0.00119348,0.00004905,RM,0.00008501,0.01020180,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,0.00000654,0.00000817,0.00314719,0.00318806,Gable,CompShg,MetalSd,MetalSd,,0.00000000,TA,TA,CBlock,TA,TA,No,BLQ,0.00024851,Unf,0.00000000,0.00102672,0.00127522,GasA,TA,Y,FuseA,0.00138640,0.00000000,0.00058857,0.00197496,0.00000000,0.00000000,0.00000163,0.00000000,0.00000327,0.00000163,TA,0.00000817,Typ,0.00000000,,Detchd,0.00320768,Unf,0.00000327,0.00088121,TA,TA,Y,0.00000000,0.00003760,0.00018311,0.00000000,0.00000000,0.00000000,,,,0.00000000,0.00000163,0.00328452,WD,Normal,0.16839503
