Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
-0.13157143,-0.17046741,RL,-0.16846213,0.14238737,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,-0.17088120,-0.17091303,-0.10722166,-0.10722166,Hip,CompShg,VinylSd,VinylSd,Stone,-0.17110400,Gd,TA,PConc,Gd,TA,Av,Unf,-0.17110400,Unf,-0.17110400,-0.11734353,-0.11734353,GasA,Ex,Y,SBrkr,-0.11734353,-0.17110400,-0.17110400,-0.11734353,-0.17110400,-0.17110400,-0.17104034,-0.17110400,-0.17100851,-0.17107217,Gd,-0.17088120,Typ,-0.17110400,,Attchd,-0.10722166,RFn,-0.17100851,-0.14073841,TA,TA,Y,-0.17110400,-0.16932154,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17091303,-0.10722166,New,Partial,7.73311830
-0.13185790,-0.16823933,RL,-0.16887592,0.14216456,Pave,,Reg,Lvl,AllPub,FR2,Gtl,mes,Norm,Norm,Duplex,1Story,-0.17097669,-0.17094486,-0.10865400,-0.10865400,Gable,CompShg,HdBoard,HdBoard,,-0.17110400,TA,TA,Slab,,,,,-0.17110400,,-0.17110400,-0.17110400,-0.17110400,GasA,TA,Y,SBrkr,-0.13214437,-0.17110400,-0.17110400,-0.13214437,-0.17110400,-0.17110400,-0.17104034,-0.17110400,-0.17104034,-0.17104034,TA,-0.17091303,Typ,-0.17110400,,CarPort,-0.10865400,Unf,-0.17104034,-0.15639865,TA,TA,Y,-0.17110400,-0.17110400,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17100851,-0.10722166,WD,Normal,3.06916624
-0.12651050,-0.16951252,RM,-0.16951252,0.01987460,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,-0.17091303,-0.17088120,-0.10970438,-0.10903596,Gable,CompShg,WdShing,Wd Shng,,-0.17110400,TA,TA,BrkTil,TA,TA,No,Unf,-0.17110400,Unf,-0.17110400,-0.14366675,-0.14366675,GasA,TA,Y,SBrkr,-0.14086573,-0.16448341,-0.17110400,-0.13424513,-0.17110400,-0.17110400,-0.17107217,-0.17110400,-0.17100851,-0.17107217,TA,-0.17094486,Typ,-0.17107217,Gd,BuiltIn,-0.10970438,RFn,-0.17107217,-0.16448341,TA,TA,Y,-0.17110400,-0.17110400,-0.16753907,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17088120,-0.10718983,WD,Normal,3.64846800
-0.12727442,-0.17014911,RL,-0.16944886,0.02916889,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,-0.17091303,-0.17094486,-0.10967255,-0.10903596,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.17110400,TA,TA,BrkTil,Gd,TA,Mn,Rec,-0.15888137,Unf,-0.17110400,-0.15888137,-0.14665874,GasA,TA,N,SBrkr,-0.14595849,-0.17110400,-0.17110400,-0.14595849,-0.17110400,-0.17110400,-0.17107217,-0.17110400,-0.17104034,-0.17107217,TA,-0.17097669,Typ,-0.17110400,,Detchd,-0.10983170,Unf,-0.17107217,-0.16601124,Fa,TA,Y,-0.17110400,-0.16661601,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17097669,-0.10718983,WD,Normal,2.72540476
-0.16448341,-0.17046741,RL,,0.22654527,Pave,,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,-0.17097669,-0.17094486,-0.10871766,-0.10871766,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.17110400,TA,TA,PConc,TA,TA,No,ALQ,-0.15776733,Rec,-0.16136410,-0.15916784,-0.13609126,GasA,TA,Y,SBrkr,-0.13609126,-0.17110400,-0.17110400,-0.13609126,-0.17107217,-0.17110400,-0.17107217,-0.17110400,-0.17100851,-0.17107217,TA,-0.17091303,Typ,-0.17107217,Po,Attchd,-0.10871766,RFn,-0.17107217,-0.16117312,TA,TA,Y,-0.15980444,-0.17110400,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,GdWo,,-0.17110400,-0.17097669,-0.10718983,WD,Normal,4.31689310
-0.12679697,-0.16823933,RL,-0.16903507,0.11358143,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,-0.17094486,-0.17094486,-0.10849485,-0.10849485,Gable,CompShg,Plywood,Plywood,,-0.17110400,TA,TA,CBlock,TA,TA,No,Unf,-0.17110400,Unf,-0.17110400,-0.12068565,-0.12068565,GasA,TA,Y,SBrkr,-0.12068565,-0.17110400,-0.17110400,-0.12068565,-0.17110400,-0.17110400,-0.17104034,-0.17110400,-0.17097669,-0.17104034,TA,-0.17084937,Mod,-0.17110400,,Detchd,-0.10849485,Unf,-0.17100851,-0.14589483,TA,TA,Y,-0.17110400,-0.16626588,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17097669,-0.10715800,WD,Normal,3.77578706
-0.13991083,-0.17046741,RL,-0.16855762,0.10950722,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,-0.17094486,-0.17091303,-0.10862217,-0.10862217,Gable,CompShg,VinylSd,VinylSd,,-0.17110400,TA,TA,PConc,TA,TA,No,Rec,-0.15038283,Unf,-0.17110400,-0.15614401,-0.13542284,GasA,TA,Y,SBrkr,-0.13542284,-0.17110400,-0.17110400,-0.13542284,-0.17107217,-0.17110400,-0.17107217,-0.17110400,-0.17100851,-0.17107217,TA,-0.17094486,Typ,-0.17110400,,Detchd,-0.10862217,Unf,-0.17104034,-0.15582572,TA,TA,Y,-0.17110400,-0.16855762,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,MnPrv,,-0.17110400,-0.17091303,-0.10715800,WD,Normal,4.25323356
-0.15569840,-0.16728443,RM,-0.17008545,-0.02787005,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,-0.17091303,-0.17094486,-0.10750813,-0.10750813,Hip,CompShg,VinylSd,VinylSd,BrkFace,-0.16741175,TA,TA,PConc,Ex,TA,No,GLQ,-0.14255270,Unf,-0.17110400,-0.16095031,-0.13239901,GasA,Ex,Y,SBrkr,-0.13239901,-0.17110400,-0.17110400,-0.13239901,-0.17107217,-0.17110400,-0.17104034,-0.17110400,-0.17104034,-0.17107217,TA,-0.17094486,Typ,-0.17110400,,Attchd,-0.10750813,Unf,-0.17104034,-0.15830844,TA,TA,Y,-0.17110400,-0.16712528,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17094486,-0.10725349,WD,Normal,5.04897773
-0.15862674,-0.16919422,RL,-0.16884409,0.21750562,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,-0.17091303,-0.17094486,-0.10741264,-0.10738081,Gable,CompShg,VinylSd,VinylSd,,-0.17110400,TA,TA,PConc,Ex,TA,No,ALQ,-0.14914147,Unf,-0.17110400,-0.16747541,-0.14551287,GasA,Ex,Y,SBrkr,-0.14551287,-0.13427696,-0.17110400,-0.10868583,-0.17107217,-0.17110400,-0.17104034,-0.17107217,-0.17100851,-0.17107217,Gd,-0.17088120,Typ,-0.17107217,TA,BuiltIn,-0.10741264,Fin,-0.17104034,-0.15327933,TA,TA,Y,-0.16712528,-0.16499269,-0.17110400,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17091303,-0.10715800,WD,Normal,6.67229583
-0.14786827,-0.17014911,RM,-0.16944886,0.02751374,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,-0.17097669,-0.17094486,-0.10983170,-0.10903596,Gable,CompShg,MetalSd,MetalSd,,-0.17110400,TA,TA,CBlock,TA,TA,No,BLQ,-0.16626588,Unf,-0.17110400,-0.15111491,-0.14627679,GasA,TA,Y,FuseA,-0.14411236,-0.17110400,-0.15964529,-0.13265365,-0.17110400,-0.17110400,-0.17107217,-0.17110400,-0.17104034,-0.17107217,TA,-0.17094486,Typ,-0.17110400,,Detchd,-0.10865400,Unf,-0.17104034,-0.15394776,TA,TA,Y,-0.17110400,-0.17037192,-0.16753907,-0.17110400,-0.17110400,-0.17110400,,,,-0.17110400,-0.17107217,-0.10715800,WD,Normal,3.10736196
